Czas;Zmienna
3.49;1.658598722
3.5;1.649216772
3.51;1.639869901
3.52;1.630559041
3.53;1.621285126
3.54;1.612049082
3.55;1.602851833
3.56;1.593694298
3.57;1.584577393
3.58;1.575502031
3.59;1.566469117
3.6;1.557479557
3.61;1.548534248
3.62;1.539634085
3.63;1.530779959
3.64;1.521972754
3.65;1.513213351
3.66;1.504502627
3.67;1.495841452
3.68;1.487230693
3.69;1.47867121
3.7;1.470163859
3.71;1.461709492
3.72;1.453308953
3.73;1.444963083
3.74;1.436672716
3.75;1.428438681
3.76;1.420261802
3.77;1.412142897
3.78;1.404082776
3.79;1.396082247
3.8;1.388142109
3.81;1.380263156
3.82;1.372446177
3.83;1.364691952
3.84;1.357001258
3.85;1.349374863
3.86;1.34181353
3.87;1.334318015
3.88;1.326889068
3.89;1.319527431
3.9;1.312233841
3.91;1.305009027
3.92;1.297853711
3.93;1.29076861
3.94;1.283754431
3.95;1.276811876
3.96;1.269941639
3.97;1.263144408
3.98;1.256420861
3.99;1.249771672
4;1.243197505
4.01;1.236699017
4.02;1.230276859
4.03;1.223931673
4.04;1.217664093
4.05;1.211474746
4.06;1.20536425
4.07;1.199333218
4.08;1.193382251
4.09;1.187511946
4.1;1.181722889
4.11;1.176015659
4.12;1.170390826
4.13;1.164848954
4.14;1.159390596
4.15;1.154016299
4.16;1.148726599
4.17;1.143522026
4.18;1.1384031
4.19;1.133370333
4.2;1.128424228
4.21;1.12356528
4.22;1.118793974
4.23;1.114110789
4.24;1.109516191
4.25;1.105010642
4.26;1.10059459
4.27;1.096268479
4.28;1.092032739
4.29;1.087887796
4.3;1.083834063
4.31;1.079871946
4.32;1.076001841
4.33;1.072224135
4.34;1.068539206
4.35;1.064947422
4.36;1.061449143
4.37;1.058044718
4.38;1.054734488
4.39;1.051518783
4.4;1.048397926
4.41;1.045372228
4.42;1.042441993
4.43;1.039607512
4.44;1.036869069
4.45;1.034226939
4.46;1.031681386
4.47;1.029232663
4.48;1.026881017
4.49;1.024626681
4.5;1.022469882
4.51;1.020410836
4.52;1.018449747
4.53;1.016586812
4.54;1.014822218
4.55;1.013156141
4.56;1.011588748
4.57;1.010120195
4.58;1.008750629
4.59;1.007480187
4.6;1.006308996
4.61;1.005237174
4.62;1.004264827
4.63;1.003392053
4.64;1.002618938
4.65;1.001945561
4.66;1.001371989
4.67;1.000898278
4.68;1.000524477
4.69;1.000250623
4.7;1.000076742
4.71;1.000002854
4.72;1.000028964
4.73;1.00015507
4.74;1.00038116
4.75;1.000707211
4.76;1.001133191
4.77;1.001659056
4.78;1.002284754
4.79;1.003010224
4.8;1.003835391
4.81;1.004760174
4.82;1.00578448
4.83;1.006908207
4.84;1.008131243
4.85;1.009453464
4.86;1.010874739
4.87;1.012394926
4.88;1.014013873
4.89;1.015731417
4.9;1.017547387
4.91;1.019461602
4.92;1.02147387
4.93;1.02358399
4.94;1.02579175
4.95;1.028096931
4.96;1.030499301
4.97;1.03299862
4.98;1.035594638
4.99;1.038287097
5;1.041075725
5.01;1.043960246
5.02;1.046940369
5.03;1.050015798
5.04;1.053186224
5.05;1.056451331
5.06;1.059810792
5.07;1.063264272
5.08;1.066811424
5.09;1.070451894
5.1;1.074185318
5.11;1.078011322
5.12;1.081929525
5.13;1.085939534
5.14;1.090040949
5.15;1.094233359
5.16;1.098516344
5.17;1.102889477
5.18;1.107352321
5.19;1.111904428
5.2;1.116545344
5.21;1.121274605
5.22;1.126091738
5.23;200
5.24;1.135987684
5.25;1.141065507
5.26;1.146229222
5.27;1.151478315
5.28;1.156812258
5.29;1.16223052
5.3;1.167732558
5.31;1.173317822
5.32;1.178985753
5.33;1.184735786
5.34;1.190567344
5.35;1.196479844
5.36;1.202472696
5.37;1.2085453
5.38;1.214697049
5.39;1.220927327
5.4;1.227235512
5.41;1.233620973
5.42;1.240083071
5.43;1.246621161
5.44;1.253234587
5.45;1.25992269
5.46;1.266684799
5.47;1.273520239
5.48;1.280428327
5.49;1.287408372
5.5;1.294459674
5.51;1.301581531
5.52;1.308773228
5.53;1.316034048
5.54;1.323363264
5.55;1.330760143
5.56;1.338223945
5.57;1.345753924
5.58;1.353349328
5.59;1.361009396
5.6;1.368733362
5.61;1.376520455
5.62;1.384369895
5.63;1.392280897
5.64;1.400252671
5.65;1.408284419
5.66;1.416375339
5.67;1.42452462
5.68;1.432731448
5.69;1.440995003
5.7;1.449314457
5.71;1.45768898
5.72;1.466117734
5.73;1.474599875
5.74;1.483134556
5.75;1.491720923
5.76;1.500358117
5.77;1.509045275
5.78;1.517781528
5.79;1.526566003
5.8;1.535397821
5.81;1.544276098
5.82;1.553199948
5.83;1.562168477
5.84;1.571180789
5.85;1.580235982
5.86;1.589333152
5.87;1.598471388
5.88;1.607649776
5.89;1.616867399
5.9;1.626123335
5.91;1.635416659
5.92;1.64474644
5.93;1.654111747
5.94;1.663511642
5.95;1.672945185
5.96;1.682411434
5.97;1.691909441
5.98;1.701438258
5.99;1.71099693
6;1.720584502
